ring_id,x,y
0,4,23
0,5,23
0,6,23
0,7,22
0,8,22
0,9,22
0,10,22
0,11,22
0,12,22
0,13,22
0,14,22
0,15,22
0,16,22
0,17,22
0,18,22
0,19,22
0,20,22
0,21,22
0,22,22
0,23,22
0,24,22
0,25,22
0,26,22
0,27,22
0,28,22
0,29,22
0,30,22
0,31,22
0,32,22
0,33,22
0,34,22
0,35,22
0,36,22
0,37,22
0,38,22
0,39,22
0,40,22
0,41,22
0,42,22
0,43,22
0,44,22
0,45,22
0,46,22
0,47,22
0,48,22
0,49,22
0,50,22
0,51,22
0,52,22
0,53,22
0,54,22
0,55,22
0,56,22
0,57,22
0,58,22
0,59,22
0,60,22
0,61,22
0,62,22
0,63,22
0,64,22
0,65,22
0,66,22
0,67,22
0,68,22
0,69,22
0,70,22
0,71,22
0,72,22
0,73,22
0,74,22
0,75,22
0,76,22
0,77,22
0,78,22
0,79,22
0,80,22
0,81,22
0,82,22
0,83,22
0,84,22
0,85,22
0,86,22
0,87,22
0,88,23
0,89,24
0,90,24
0,91,26
0,92,29
0,93,26
1,4,462
1,5,461
1,6,461
1,7,460
1,8,460
1,9,461
1,10,461
1,11,461
1,12,461
1,13,461
1,14,461
1,15,461
1,16,461
1,17,461
1,18,461
1,19,461
1,20,461
1,21,461
1,22,461
1,23,461
1,24,461
1,25,461
1,26,461
1,27,461
1,28,461
1,29,461
1,30,461
1,31,461
1,32,461
1,33,461
1,34,461
1,35,461
1,36,461
1,37,461
1,38,461
1,39,461
1,40,461
1,41,461
1,42,461
1,43,461
1,44,461
1,45,461
1,46,461
1,47,461
1,48,461
1,49,461
1,50,461
1,51,461
1,52,461
1,53,461
1,54,461
1,55,461
1,56,461
1,57,461
1,58,461
1,59,461
1,60,461
1,61,461
1,62,461
1,63,461
1,64,461
1,65,461
1,66,461
1,67,461
1,68,461
1,69,461
1,70,461
1,71,461
1,72,460
1,73,459
1,74,459
1,75,459
1,76,459
1,77,460
